Date,Hour,Energy_Actual,Energy_Predicted,Energy_LowerBound
2025-05-06,6,16.28,2.68,0.0
2025-05-06,7,148.33,110.63,50.76
2025-05-06,8,419.42,275.24,161.26
2025-05-06,9,641.34,438.29,270.29
2025-05-06,10,816.08,460.74,380.74
2025-05-06,11,922.87,660.9,509.07
2025-05-06,12,955.97,732.26,575.83
2025-05-06,13,921.4,682.98,589.18
2025-05-06,14,811.55,263.1,480.76
2025-05-06,15,644.57,346.08,366.7
2025-05-06,16,438.65,318.12,255.67
2025-05-06,17,221.03,100.56,160.09
2025-05-07,6,19.43,4.93,0.0
2025-05-07,7,157.84,120.45,51.44
2025-05-07,8,411.54,276.41,162.28
2025-05-07,9,602.32,400.77,275.62
2025-05-07,10,732.03,466.41,379.04
2025-05-07,11,912.63,678.19,508.42
2025-05-07,12,920.95,596.19,572.95
2025-05-07,13,914.13,710.99,587.12
2025-05-07,14,788.1,643.34,485.33
2025-05-07,15,538.72,476.86,400.19
2025-05-07,16,414.32,281.17,311.32
2025-05-07,17,196.56,87.02,169.21
2025-05-08,6,29.48,6.78,0.0
2025-05-08,7,200.41,117.71,52.27
2025-05-08,8,390.16,275.55,184.19
2025-05-08,9,632.75,410.63,316.75
2025-05-08,10,825.92,529.3,437.39
2025-05-08,11,893.85,547.48,532.38
2025-05-08,12,912.43,683.35,577.13
2025-05-08,13,770.88,660.74,583.43
2025-05-08,14,853.1,561.44,499.37
2025-05-08,15,385.05,211.75,398.86
2025-05-08,16,163.27,297.58,286.49
2025-05-08,17,499.17,87.6,168.8
2025-05-09,6,21.76,8.84,0.0
2025-05-09,7,192.96,128.6,48.24
2025-05-09,8,432.2,264.0,155.34
2025-05-09,9,642.9,423.89,270.55
2025-05-09,10,815.75,579.48,382.41
2025-05-09,11,920.22,681.78,521.97
2025-05-09,12,958.59,705.59,575.71
2025-05-09,13,865.33,616.05,582.91
2025-05-09,14,807.18,611.33,484.22
2025-05-09,15,629.61,494.95,397.5
2025-05-09,16,349.72,218.2,309.15
2025-05-09,17,116.82,111.61,168.66
2025-05-10,6,29.83,9.02,0.0
2025-05-10,7,197.41,125.93,54.96
2025-05-10,8,419.51,277.44,162.43
2025-05-10,9,620.32,416.49,271.17
2025-05-10,10,820.1,578.57,381.49
2025-05-10,11,891.98,660.74,525.6
2025-05-10,12,866.85,624.74,571.7
2025-05-10,13,724.4,552.73,571.49
2025-05-10,14,598.2,579.69,475.69
2025-05-10,15,608.09,233.96,399.67
2025-05-10,16,446.52,207.35,300.09
2025-05-10,17,196.3,100.5,169.67
2025-05-11,6,20.51,13.28,0.0
2025-05-11,7,178.89,134.22,45.85
2025-05-11,8,428.09,288.9,159.9
2025-05-11,9,618.57,441.12,270.41
2025-05-11,10,790.41,578.54,381.4
2025-05-11,11,890.27,357.2,492.37
2025-05-11,12,944.1,707.11,591.25
2025-05-11,13,928.16,483.92,588.71
2025-05-11,14,851.15,364.96,475.62
2025-05-11,15,629.02,450.02,388.05
2025-05-11,16,232.54,354.27,292.55
2025-05-11,17,115.0,111.78,161.32
2025-05-12,6,32.66,10.38,0.0
2025-05-12,7,206.46,133.0,49.21
2025-05-12,8,422.32,264.23,155.18
2025-05-12,9,634.28,441.36,270.64
2025-05-12,10,804.34,578.55,381.58
2025-05-12,11,915.29,678.54,505.98
2025-05-12,12,922.28,633.01,575.31
2025-05-12,13,876.13,718.96,592.9
